county,year,total_population,children_under_5,working_age,elderly_65plus,sex_ratio,dependency_ratio,child_dependency_ratio,elderly_dependency_ratio,pct_children,pct_elderly
Baringo,2021,681843.0,101203.0,358512.0,19204.0,102.27,33.59,28.23,5.36,14.84,2.82
Bomet,2021,930011.0,122301.0,518614.0,24585.0,99.28,28.32,23.58,4.74,13.15,2.64
Bungoma,2021,2058212.0,277644.0,1099671.0,55336.0,94.96,30.28,25.25,5.03,13.49,2.69
Busia,2021,940491.0,124213.0,510769.0,29376.0,91.79,30.07,24.32,5.75,13.21,3.12
Elgeyo-Marakwet,2021,429380.0,59823.0,235243.0,13331.0,100.6,31.1,25.43,5.67,13.93,3.1
Embu,2021,656631.0,69025.0,419760.0,30724.0,100.76,23.76,16.44,7.32,10.51,4.68
Garissa,2021,1043863.0,158394.0,525647.0,17423.0,113.99,33.45,30.13,3.31,15.17,1.67
HomaBay,2021,1146907.0,164308.0,598433.0,36691.0,91.79,33.59,27.46,6.13,14.33,3.2
Isiolo,2021,387405.0,61025.0,202702.0,8466.0,110.17,34.28,30.11,4.18,15.75,2.19
Kajiado,2021,1449215.0,208095.0,875056.0,22209.0,100.68,26.32,23.78,2.54,14.36,1.53
Kakamega,2021,1601749.0,202225.0,870414.0,54146.0,92.67,29.45,23.23,6.22,12.63,3.38
Kericho,2021,938835.0,118830.0,543351.0,25165.0,100.78,26.5,21.87,4.63,12.66,2.68
Kiambu,2021,2875430.0,343918.0,1919716.0,68527.0,97.82,21.48,17.92,3.57,11.96,2.38
Kilifi,2021,1611006.0,230942.0,885857.0,45298.0,94.77,31.18,26.07,5.11,14.34,2.81
Kirinyaga,2021,899296.0,87071.0,598508.0,44179.0,98.43,21.93,14.55,7.38,9.68,4.91
Kisii,2021,1264699.0,149341.0,712799.0,42051.0,92.24,26.85,20.95,5.9,11.81,3.32
Kisumu,2021,1259052.0,159751.0,728608.0,36245.0,95.4,26.9,21.93,4.97,12.69,2.88
Kitui,2021,1152707.0,133785.0,646694.0,53131.0,93.79,28.9,20.69,8.22,11.61,4.61
Kwale,2021,979179.0,152949.0,513165.0,27439.0,96.81,35.15,29.81,5.35,15.62,2.8
Laikipia,2021,567992.0,75180.0,331747.0,20280.0,100.87,28.77,22.66,6.11,13.24,3.57
Lamu,2021,168015.0,22806.0,97513.0,4843.0,112.78,28.35,23.39,4.97,13.57,2.88
Machakos,2021,1617784.0,176787.0,1033346.0,59901.0,101.41,22.9,17.11,5.8,10.93,3.7
Makueni,2021,1005553.0,102699.0,604035.0,49690.0,99.0,25.23,17.0,8.23,10.21,4.94
Mandera,2021,937213.0,179714.0,414934.0,9922.0,100.76,45.7,43.31,2.39,19.18,1.06
Marsabit,2021,550372.0,84726.0,281642.0,12195.0,113.64,34.41,30.08,4.33,15.39,2.22
Meru,2021,1584465.0,181766.0,964942.0,64584.0,99.42,25.53,18.84,6.69,11.47,4.08
Migori,2021,1235945.0,186046.0,638063.0,29436.0,93.14,33.77,29.16,4.61,15.05,2.38
Mombasa,2021,1354572.0,170945.0,896922.0,18659.0,103.69,21.14,19.06,2.08,12.62,1.38
Murang'a,2021,1054409.0,115419.0,644298.0,65184.0,98.94,28.03,17.91,10.12,10.95,6.18
Nairobi,2021,5295470.0,655111.0,3631698.0,51286.0,100.95,19.45,18.04,1.41,12.37,0.97
Nakuru,2021,2452029.0,320882.0,1467804.0,60678.0,100.22,26.0,21.86,4.13,13.09,2.47
Nandi,2021,934379.0,115871.0,540451.0,27699.0,99.75,26.56,21.44,5.13,12.4,2.96
Narok,2021,1371542.0,228171.0,680895.0,24939.0,100.46,37.17,33.51,3.66,16.64,1.82
Nyamira,2021,582678.0,65242.0,332252.0,21301.0,92.82,26.05,19.64,6.41,11.2,3.66
Nyandarua,2021,632090.0,72174.0,380780.0,25664.0,97.78,25.69,18.95,6.74,11.42,4.06
Nyeri,2021,746374.0,75335.0,480667.0,42699.0,97.94,24.56,15.67,8.88,10.09,5.72
Samburu,2021,356919.0,60448.0,174198.0,7740.0,102.74,39.14,34.7,4.44,16.94,2.17
Siaya,2021,1062138.0,136021.0,573421.0,46580.0,91.15,31.84,23.72,8.12,12.81,4.39
TaitaTaveta,2021,365189.0,43437.0,224460.0,15254.0,104.35,26.15,19.35,6.8,11.89,4.18
TanaRiver,2021,668749.0,113738.0,331481.0,14111.0,104.8,38.57,34.31,4.26,17.01,2.11
Tharaka-Nithi,2021,332253.0,35962.0,201786.0,17046.0,97.67,26.27,17.82,8.45,10.82,5.13
TransNzoia,2021,1047199.0,142564.0,574212.0,26566.0,98.06,29.45,24.83,4.63,13.61,2.54
Turkana,2021,992466.0,145810.0,526768.0,18262.0,107.32,31.15,27.68,3.47,14.69,1.84
UasinGishu,2021,1303422.0,162672.0,795878.0,28463.0,100.47,24.02,20.44,3.58,12.48,2.18
Vihiga,2021,566868.0,65269.0,311911.0,31162.0,92.64,30.92,20.93,9.99,11.51,5.5
Wajir,2021,835580.0,135683.0,408233.0,9088.0,113.91,35.46,33.24,2.23,16.24,1.09
WestPokot,2021,715062.0,133289.0,337885.0,15504.0,98.84,44.04,39.45,4.59,18.64,2.17
Baringo,2022,694565.0,101560.0,369300.0,19916.0,102.2,32.89,27.5,5.39,14.62,2.87
Bomet,2022,947391.0,122638.0,533793.0,25477.0,99.22,27.75,22.97,4.77,12.94,2.69
Bungoma,2022,2096655.0,278473.0,1132795.0,57424.0,94.88,29.65,24.58,5.07,13.28,2.74
Busia,2022,958089.0,124536.0,525985.0,30454.0,91.69,29.47,23.68,5.79,13.0,3.18
Elgeyo-Marakwet,2022,437390.0,59988.0,242183.0,13820.0,100.55,30.48,24.77,5.71,13.71,3.16
Embu,2022,668871.0,68958.0,431032.0,31736.0,100.68,23.36,16.0,7.36,10.31,4.74
Garissa,2022,1063147.0,159094.0,541954.0,18010.0,113.98,32.68,29.36,3.32,14.96,1.69
HomaBay,2022,1168321.0,164843.0,616469.0,38077.0,91.66,32.92,26.74,6.18,14.11,3.26
Isiolo,2022,394699.0,61281.0,208889.0,8782.0,110.18,33.54,29.34,4.2,15.53,2.23
Kajiado,2022,1476260.0,208665.0,899676.0,23043.0,100.62,25.75,23.19,2.56,14.13,1.56
Kakamega,2022,1631629.0,202688.0,896296.0,56132.0,92.57,28.88,22.61,6.26,12.42,3.44
Kericho,2022,956381.0,119090.0,558938.0,26084.0,100.73,25.97,21.31,4.67,12.45,2.73
Kiambu,2022,2929294.0,344005.0,1970914.0,70834.0,97.74,21.05,17.45,3.59,11.74,2.42
Kilifi,2022,1641143.0,231579.0,912074.0,47043.0,94.66,30.55,25.39,5.16,14.11,2.87
Kirinyaga,2022,916093.0,86892.0,614281.0,45576.0,98.36,21.56,14.15,7.42,9.49,4.98
Kisii,2022,1288318.0,149611.0,733512.0,43613.0,92.14,26.34,20.4,5.95,11.61,3.39
Kisumu,2022,1282536.0,160071.0,749404.0,37589.0,95.31,26.38,21.36,5.02,12.48,2.93
Kitui,2022,1174220.0,133956.0,665337.0,54964.0,93.67,28.39,20.13,8.26,11.41,4.68
Kwale,2022,997448.0,153489.0,528683.0,28522.0,96.72,34.43,29.03,5.39,15.39,2.86
Laikipia,2022,578610.0,75292.0,341252.0,20981.0,100.81,28.21,22.06,6.15,13.01,3.63
Lamu,2022,171155.0,22848.0,100328.0,5024.0,112.79,27.78,22.77,5.01,13.35,2.94
