county,year,sex,age_band,population
Baringo,2021,f,00,10038.0
Baringo,2021,f,01,39358.0
Baringo,2021,f,05,49776.0
Baringo,2021,f,10,49341.0
Baringo,2021,f,15,41075.0
Baringo,2021,f,20,31260.0
Baringo,2021,f,25,24141.0
Baringo,2021,f,30,19461.0
Baringo,2021,f,35,15458.0
Baringo,2021,f,40,12729.0
Baringo,2021,f,45,11740.0
Baringo,2021,f,50,9712.0
Baringo,2021,f,55,7023.0
Baringo,2021,f,60,5379.0
Baringo,2021,f,65,3830.0
Baringo,2021,f,70,2699.0
Baringo,2021,f,75,1692.0
Baringo,2021,f,80,1136.0
Baringo,2021,f,85,706.0
Baringo,2021,f,90,544.0
Baringo,2021,m,00,10534.0
Baringo,2021,m,01,41273.0
Baringo,2021,m,05,52137.0
Baringo,2021,m,10,51669.0
Baringo,2021,m,15,43428.0
Baringo,2021,m,20,32408.0
Baringo,2021,m,25,23794.0
Baringo,2021,m,30,20144.0
Baringo,2021,m,35,16173.0
Baringo,2021,m,40,12928.0
Baringo,2021,m,45,11114.0
Baringo,2021,m,50,8697.0
Baringo,2021,m,55,6676.0
Baringo,2021,m,60,5173.0
Baringo,2021,m,65,3480.0
Baringo,2021,m,70,2591.0
Baringo,2021,m,75,1299.0
Baringo,2021,m,80,647.0
Baringo,2021,m,85,352.0
Baringo,2021,m,90,230.0
Bomet,2021,f,00,12217.0
Bomet,2021,f,01,47901.0
Bomet,2021,f,05,63416.0
Bomet,2021,f,10,67772.0
Bomet,2021,f,15,59608.0
Bomet,2021,f,20,44511.0
Bomet,2021,f,25,36312.0
Bomet,2021,f,30,33721.0
Bomet,2021,f,35,20130.0
Bomet,2021,f,40,19344.0
Bomet,2021,f,45,18213.0
Bomet,2021,f,50,11672.0
Bomet,2021,f,55,10544.0
Bomet,2021,f,60,7249.0
Bomet,2021,f,65,4855.0
Bomet,2021,f,70,3276.0
Bomet,2021,f,75,2454.0
Bomet,2021,f,80,1846.0
Bomet,2021,f,85,1043.0
Bomet,2021,f,90,603.0
Bomet,2021,m,00,12644.0
Bomet,2021,m,01,49539.0
Bomet,2021,m,05,65955.0
Bomet,2021,m,10,67366.0
Bomet,2021,m,15,59588.0
Bomet,2021,m,20,42215.0
Bomet,2021,m,25,33461.0
Bomet,2021,m,30,31362.0
Bomet,2021,m,35,25317.0
Bomet,2021,m,40,20245.0
Bomet,2021,m,45,17804.0
Bomet,2021,m,50,11316.0
Bomet,2021,m,55,9269.0
Bomet,2021,m,60,6734.0
Bomet,2021,m,65,4234.0
Bomet,2021,m,70,3023.0
Bomet,2021,m,75,1598.0
Bomet,2021,m,80,867.0
Bomet,2021,m,85,487.0
Bomet,2021,m,90,300.0
Bungoma,2021,f,00,28237.0
Bungoma,2021,f,01,110708.0
Bungoma,2021,f,05,153375.0
Bungoma,2021,f,10,160518.0
Bungoma,2021,f,15,136234.0
Bungoma,2021,f,20,88573.0
Bungoma,2021,f,25,69887.0
Bungoma,2021,f,30,64843.0
Bungoma,2021,f,35,48729.0
Bungoma,2021,f,40,45360.0
Bungoma,2021,f,45,36902.0
Bungoma,2021,f,50,32888.0
Bungoma,2021,f,55,27797.0
Bungoma,2021,f,60,19609.0
Bungoma,2021,f,65,12409.0
Bungoma,2021,f,70,7573.0
Bungoma,2021,f,75,5744.0
Bungoma,2021,f,80,3695.0
Bungoma,2021,f,85,1694.0
Bungoma,2021,f,90,944.0
Bungoma,2021,m,00,28204.0
Bungoma,2021,m,01,110495.0
Bungoma,2021,m,05,154147.0
Bungoma,2021,m,10,157521.0
Bungoma,2021,m,15,134887.0
Bungoma,2021,m,20,84079.0
Bungoma,2021,m,25,61368.0
Bungoma,2021,m,30,58157.0
Bungoma,2021,m,35,48312.0
Bungoma,2021,m,40,40632.0
Bungoma,2021,m,45,34144.0
Bungoma,2021,m,50,27049.0
Bungoma,2021,m,55,23493.0
Bungoma,2021,m,60,16726.0
Bungoma,2021,m,65,9745.0
Bungoma,2021,m,70,6154.0
Bungoma,2021,m,75,3755.0
Bungoma,2021,m,80,2042.0
Bungoma,2021,m,85,1001.0
Bungoma,2021,m,90,578.0
Busia,2021,f,00,12661.0
Busia,2021,f,01,49628.0
Busia,2021,f,05,67656.0
Busia,2021,f,10,72322.0
Busia,2021,f,15,64120.0
Busia,2021,f,20,42470.0
Busia,2021,f,25,33644.0
Busia,2021,f,30,30437.0
Busia,2021,f,35,22942.0
Busia,2021,f,40,20438.0
Busia,2021,f,45,16337.0
Busia,2021,f,50,16501.0
Busia,2021,f,55,13664.0
Busia,2021,f,60,10005.0
Busia,2021,f,65,6546.0
Busia,2021,f,70,4328.0
Busia,2021,f,75,3075.0
Busia,2021,f,80,1986.0
Busia,2021,f,85,1003.0
Busia,2021,f,90,605.0
Busia,2021,m,00,12594.0
Busia,2021,m,01,49330.0
Busia,2021,m,05,66096.0
Busia,2021,m,10,70059.0
Busia,2021,m,15,61669.0
Busia,2021,m,20,39063.0
Busia,2021,m,25,27715.0
Busia,2021,m,30,26135.0
Busia,2021,m,35,22580.0
Busia,2021,m,40,18457.0
Busia,2021,m,45,14197.0
Busia,2021,m,50,12404.0
